District,Stunting Rate (%),Wasting Rate (%),Underweight Rate (%),Province,Household_wealth_index_mean,Household_food_security_mean,Min_Dietary_Diversity_Women_mean
Bugesera,21.34831460674157,2.8089887640449436,8.426966292134832,Eastern,3.50561797752809,3.1797752808988764,1.5561797752808988
Burera,35.15151515151515,6.0606060606060606,5.454545454545454,Northern,2.8363636363636364,3.0424242424242425,1.3515151515151516
Gakenke,33.33333333333333,0.8130081300813009,8.130081300813007,Northern,2.6097560975609757,3.268292682926829,1.3739837398373984
Gasabo,15.07537688442211,1.507537688442211,7.035175879396985,Kigali City,4.28643216080402,3.557788944723618,1.5376884422110553
Gatsibo,25.38860103626943,1.0362694300518136,8.290155440414509,Eastern,2.5492227979274613,3.139896373056995,1.310880829015544
Gicumbi,23.076923076923077,0.591715976331361,1.183431952662722,Northern,2.7633136094674557,3.366863905325444,1.4082840236686391
Gisagara,27.607361963190186,1.8404907975460123,9.815950920245399,Southern,2.5521472392638036,2.9938650306748467,1.312883435582822
Huye,18.120805369127517,3.3557046979865772,10.06711409395973,Southern,3.1140939597315436,3.046979865771812,1.348993288590604
Kamonyi,23.75,0.625,6.875000000000001,Southern,3.36875,3.225,1.6375
Karongi,27.710843373493976,3.614457831325301,10.240963855421686,Western,2.6325301204819276,2.9397590361445785,1.2650602409638554
Kayonza,17.419354838709676,2.5806451612903225,6.451612903225806,Eastern,3.2903225806451615,3.425806451612903,1.4580645161290322
Kicukiro,10.655737704918032,0.819672131147541,2.0491803278688523,Kigali City,4.524590163934426,3.6311475409836067,1.6598360655737705
Kirehe,26.011560693641616,3.4682080924855487,6.358381502890173,Eastern,3.086705202312139,3.1734104046242773,1.6184971098265897
Muhanga,16.265060240963855,2.4096385542168677,7.228915662650602,Southern,3.13855421686747,3.0542168674698793,1.4819277108433735
Musanze,28.915662650602407,1.2048192771084338,5.421686746987952,Northern,3.2228915662650603,3.3313253012048194,1.4759036144578312
Ngoma,31.851851851851855,0.0,10.37037037037037,Eastern,2.8518518518518516,3.2222222222222223,1.4148148148148147
Ngororero,32.93413173652694,1.7964071856287425,5.389221556886228,Western,2.6407185628742513,2.820359281437126,1.401197604790419
Nyabihu,43.15068493150685,0.684931506849315,9.58904109589041,Western,2.9452054794520546,3.1780821917808217,1.3835616438356164
Nyagatare,26.55367231638418,2.2598870056497176,5.084745762711865,Eastern,3.2655367231638417,3.2711864406779663,1.2033898305084745
Nyamagabe,28.57142857142857,3.896103896103896,12.337662337662337,Southern,2.4675324675324677,2.824675324675325,1.2857142857142858
Nyamasheke,27.167630057803464,1.1560693641618496,8.670520231213873,Western,3.2658959537572256,2.8901734104046244,1.3179190751445087
Nyanza,27.611940298507463,1.4925373134328357,7.462686567164178,Southern,3.044776119402985,3.1940298507462686,1.455223880597015
Nyarugenge,12.437810945273633,1.4925373134328357,5.970149253731343,Kigali City,4.2288557213930345,3.462686567164179,1.5572139303482586
Nyaruguru,31.28491620111732,1.675977653631285,10.05586592178771,Southern,2.3240223463687153,2.9608938547486034,1.4134078212290502
Rubavu,36.54822335025381,2.5380710659898478,6.598984771573605,Western,3.035532994923858,2.9289340101522843,1.131979695431472
Ruhango,23.60248447204969,1.2422360248447204,5.590062111801243,Southern,2.472049689440994,2.7577639751552794,1.3726708074534162
Rulindo,32.515337423312886,3.6809815950920246,7.361963190184049,Northern,3.0061349693251533,3.1349693251533743,1.4294478527607362
Rusizi,32.21153846153847,1.9230769230769231,6.25,Western,3.3413461538461537,3.1586538461538463,1.3509615384615385
Rutsiro,35.03184713375796,1.2738853503184715,11.464968152866243,Western,2.770700636942675,2.9936305732484074,1.4394904458598725
Rwamagana,15.492957746478872,2.112676056338028,2.8169014084507045,Eastern,3.5704225352112675,3.323943661971831,1.408450704225352
