District,Stunting Rate (%),Wasting Rate (%),Underweight Rate (%)
Bugesera,23.684210526315788,2.631578947368421,9.868421052631579
Burera,38.46153846153847,6.41025641025641,5.769230769230769
Gakenke,33.33333333333333,0.8333333333333334,8.333333333333332
Gasabo,17.159763313609467,1.7751479289940828,7.6923076923076925
Gatsibo,27.167630057803464,1.1560693641618496,8.670520231213873
Gicumbi,22.0125786163522,0.628930817610063,1.257861635220126
Gisagara,30.67484662576687,1.8404907975460123,10.429447852760736
Huye,17.333333333333336,2.0,8.0
Kamonyi,28.767123287671232,1.36986301369863,10.95890410958904
Karongi,27.95031055900621,3.1055900621118013,10.559006211180124
Kayonza,19.594594594594593,2.027027027027027,6.081081081081082
Kicukiro,10.497237569060774,0.5524861878453038,2.7624309392265194
Kirehe,26.451612903225808,3.225806451612903,6.451612903225806
Muhanga,19.875776397515526,2.484472049689441,8.695652173913043
Musanze,29.13907284768212,1.3245033112582782,6.622516556291391
Ngoma,32.37410071942446,0.0,10.071942446043165
Ngororero,32.70440251572327,1.8867924528301887,6.289308176100629
Nyabihu,44.13793103448276,0.6896551724137931,10.344827586206897
Nyagatare,25.862068965517242,1.7241379310344827,5.747126436781609
Nyamagabe,28.104575163398692,3.9215686274509802,11.76470588235294
Nyamasheke,24.2603550295858,1.183431952662722,8.284023668639055
Nyanza,25.190839694656486,1.5267175572519083,6.870229007633588
Nyarugenge,14.814814814814813,1.2345679012345678,6.790123456790123
Nyaruguru,32.758620689655174,1.7241379310344827,11.494252873563218
Rubavu,38.421052631578945,2.631578947368421,6.315789473684211
Ruhango,22.929936305732486,1.2738853503184715,5.095541401273886
Rulindo,29.078014184397162,2.8368794326241136,6.382978723404255
Rusizi,31.891891891891895,2.1621621621621623,6.486486486486487
Rutsiro,37.01298701298701,1.2987012987012987,10.38961038961039
Rwamagana,16.417910447761194,1.4925373134328357,2.9850746268656714
